uid,touying_fid,island_id,island_uid_count,height_m,pixel_count_used,dem_error_p05_m,dem_error_median_m,dem_error_p95_m,reference_elevation_median_m,roof_elevation_p05_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,max_height_grubbs_n,max_height_grubbs_g,max_height_grubbs_gcrit,max_height_grubbs_p,max_height_reject_outlier,max_height_reliable,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_g,grubbs_top_last_gcrit,grubbs_top_last_p,grubbs_top_reliable,coh_mean,amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,method
66,66,5,1,0.06646013259887695,31,-4.932110071182251,-0.6561837792396545,3.09290087223053,5.729302883148193,-0.07535970211029053,4.169681072235107,7.069677114486694,10.392684936523438,11.025489807128906,15.030442237854004,-4.0753597021102905,-1.4043197631835938,0.16968107223510742,3.0696771144866943,6.3926849365234375,7.025489807128906,11.030442237854004,23.964311599731445,31,3.732905864715576,2.7595228667618996,0.00024268466623866836,True,False,8.033676147460938,2,29,2.018537351125827,2.7301270503068427,0.5426764305829948,True,0.8784046173095703,0.3229742646217346,0.7149151563644409,14.0,360.5517883300781,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
82,82,8,1,5.386545181274414,59,-2.652600073814392,2.1740591526031494,19.503288841247556,7.561243057250977,1.6416445970535278,9.386545181274414,21.931370735168457,34.62003135681152,39.89342346191406,41.503287124633786,-2.358355402946472,1.183927297592163,5.386545181274414,17.931370735168457,30.62003135681152,35.89342346191406,37.503287124633786,41.191192626953125,59,2.2368521690368652,3.0205330048255705,0.6702056162759761,False,True,41.191192626953125,0,59,2.2368520639197107,3.0205330048255705,0.6702058133075706,True,0.8669837117195129,0.3483806252479553,0.5935643911361694,16.0,408.5389099121094,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
86,86,10,1,4.228458404541016,27,-12.643510246276856,-1.2158397436141968,8.600556468963623,12.758734703063965,-8.496884536743163,8.228458404541016,22.602764129638672,30.54584102630615,32.00848960876465,33.60055656433105,-12.496884536743163,-3.404215693473816,4.228458404541016,18.602764129638672,26.54584102630615,28.008489608764652,29.600556564331054,30.662006378173828,27,1.6254346370697021,2.698070722047008,1.0,False,True,30.662006378173828,0,27,1.6254346228019578,2.698070722047008,1.0,True,0.8345105648040771,0.335440993309021,0.9063165187835693,13.0,322.551513671875,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
87,87,11,1,-2.154822826385498,27,-6.335391426086426,-2.154822826385498,1.3648949742317198,4.0,-2.3353914260864257,1.845177173614502,3.665923833847046,4.558728408813476,4.85540828704834,5.364895057678222,-6.335391426086426,-5.224372625350952,-2.154822826385498,-0.3340761661529541,0.5587284088134763,0.8554082870483407,1.3648950576782224,5.777645111083984,27,2.6336488723754883,2.698070722047008,0.06478706699615899,False,True,5.777645111083984,0,27,2.633648783655098,2.698070722047008,0.06478708966820823,True,0.8435614109039307,0.34027642011642456,0.5863875150680542,16.0,360.5517883300781,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
95,95,19,1,-0.7195552587509155,61,-8.055089950561523,-1.6832307577133179,7.225076198577881,4.67617654800415,-3.0192623138427734,3.3688321113586426,16.15601348876953,28.13810157775879,29.000961303710938,31.658981323242188,-7.019262313842773,-3.985044479370117,-0.6311678886413574,12.156013488769531,24.13810157775879,25.000961303710938,27.658981323242188,36.77297592163086,61,2.469759941101074,3.033067427935249,0.35143940597908885,False,True,36.77297592163086,0,61,2.4697599880475467,3.033067427935249,0.3514393552087546,True,0.8499054312705994,0.3161965608596802,0.8210678696632385,15.0,330.54400634765625,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
98,98,22,1,23.028486251831055,27,-9.608594131469726,-0.2940695583820343,4.92745471000671,28.0,-3.5567341804504395,27.028486251831055,28.600350379943848,29.000775718688963,29.165239715576174,29.36096782684326,-7.556734180450439,-2.3559130430221558,23.028486251831055,24.600350379943848,25.000775718688963,25.165239715576174,25.36096782684326,34.02257537841797,27,1.384636640548706,2.698070722047008,1.0,False,True,34.02257537841797,0,27,1.3846366409389785,2.698070722047008,1.0,True,0.8472940921783447,0.33131328225135803,1.0757615566253662,18.0,328.09320068359375,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
99,99,23,1,23.632047653198242,37,-7.177402496337891,-0.33858522772789,3.762119722366332,28.0,19.59462661743164,27.602680206298828,28.687435150146484,29.633342742919922,30.2100528717041,31.762119674682616,15.594626617431642,21.128725051879883,23.602680206298828,24.687435150146484,25.633342742919922,26.2100528717041,27.762119674682616,32.362545013427734,37,1.5895713567733765,2.8352016029234095,1.0,False,True,32.362545013427734,0,37,1.5895713819024548,2.8352016029234095,1.0,True,0.8386272192001343,0.32849395275115967,0.9774071574211121,17.0,496.6940002441406,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
100,100,24,1,4.719103813171387,151,-4.631360769271851,0.9039096832275391,7.76992392539978,4.0,-0.4901885986328125,8.719103813171387,28.96617603302002,29.69353199005127,29.944461822509766,30.172274589538574,-4.4901885986328125,-0.2613271474838257,4.719103813171387,24.96617603302002,25.69353199005127,25.944461822509766,26.172274589538574,38.202308654785156,151,2.2623817920684814,3.3450171250475833,1.0,False,True,38.202308654785156,0,151,2.262381589981181,3.3450171250475833,1.0,True,0.8498742580413818,0.3274497389793396,0.548477292060852,18.0,561.0567016601562,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
118,118,42,1,1.887023687362671,27,0.1470103591680527,1.8897008895874023,4.500581359863281,4.0,4.147010374069214,5.889700889587402,6.721709728240967,7.938991975784301,8.270963287353517,8.500581359863281,0.14701037406921388,0.8436586856842041,1.8897008895874023,2.721709728240967,3.938991975784301,4.270963287353516,4.500581359863281,5.786811828613281,27,2.4494497776031494,2.698070722047008,0.12895676162737546,False,True,5.786811828613281,0,27,2.449449814282961,2.698070722047008,0.12895674488651077,True,0.8330973386764526,0.3369075357913971,0.4332442283630371,14.0,330.54400634765625,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
119,119,43,1,5.967500686645508,20,1.3070257544517518,4.874146223068237,12.477561569213869,4.0,5.307025527954101,9.967500686645508,13.61853551864624,16.380185508728026,16.529446792602542,17.5371826171875,1.3070255279541017,2.6677732467651367,5.967500686645508,9.61853551864624,12.380185508728028,12.52944679260254,13.5371826171875,14.939090728759766,20,1.8566614389419556,2.556581334492762,0.540166429836133,False,True,14.939090728759766,0,20,1.8566614482987323,2.556581334492762,0.5401664163431308,True,0.8345931768417358,0.3421678841114044,0.48153287172317505,15.0,305.41876220703125,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
