clean_id,Id,Floor,height,source_count,source_uids,height_insar_m,height_statistic,height_source_column,height_iqr_median_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_p,grubbs_top_reliable,max_height_reliable,max_height_reject_outlier,max_height_grubbs_p,max_height_grubbs_g,max_height_grubbs_gcrit,dem_error_median_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,reference_elevation_median_m,pixel_count_used,point_count,island_count,max_island_uid_count,median_coherence,median_amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,source_touying_fids,source_islands,prior_gap_m,has_insar_height,height_prior_m,review_multi_clean_id_island,review_negative_height,review_extreme_height,review_unreliable_max_height,review_large_prior_gap,qc_review,height_source,max_height_reliable_bool,grubbs_top_reliable_bool,height_likely_top_m,likely_top_method,likely_top_reliability,has_likely_top_height,likely_top_minus_height_diag_m
263,0,8,24,1,325,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
264,0,8,24,1,326,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
265,0,6,18,1,327,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
266,0,8,24,1,328,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
267,0,8,24,1,329,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
268,0,8,24,1,331,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
269,0,8,24,1,332,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
270,0,7,21,1,333,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
271,0,8,24,1,334,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
272,0,8,24,1,335,7.861455917358398,likely_top_hypothesis_guided,max_accept_grubbs,-1.4775561094284058,-5.350639128684997,-3.4689331650733948,-1.4775561094284058,1.3520575761795044,3.1697959423065183,5.064045143127442,6.334403181076049,7.861455917358398,7.861455917358398,0.0,40.0,0.3569298154949951,True,True,False,0.356930160054123,2.2985308170318604,2.8675424870552675,-1.983896851539612,2.5224438905715942,5.352057576179504,7.169795942306519,9.064045143127442,10.334403181076048,4.0,40.0,1.0,1.0,1.0,0.8378344774246216,0.3462839126586914,0.7851231098175049,16.0,370.39849853515625,272,186,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,7.861455917358398,max_accept_grubbs,high,True,
273,0,8,24,1,336,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
274,0,6,18,2,337;338,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
275,0,8,24,1,339,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
