clean_id,Id,Floor,height,source_count,source_uids,height_insar_m,height_statistic,height_source_column,height_iqr_median_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_p,grubbs_top_reliable,max_height_reliable,max_height_reject_outlier,max_height_grubbs_p,max_height_grubbs_g,max_height_grubbs_gcrit,dem_error_median_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,reference_elevation_median_m,pixel_count_used,point_count,island_count,max_island_uid_count,median_coherence,median_amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,source_touying_fids,source_islands,prior_gap_m,has_insar_height,height_prior_m,review_multi_clean_id_island,review_negative_height,review_extreme_height,review_unreliable_max_height,review_large_prior_gap,qc_review,height_source
855,0,6,18,1,1091,44.89439010620117,grubbs_top,building_height_grubbs_top_m,-1.9657596349716189,-4.152405476570129,-2.843010723590851,-1.1253294944763184,8.514271974563599,24.24142360687256,28.008374404907222,31.365546226501465,44.89439010620117,44.89439010620117,0.0,42.0,0.0578689517927311,True,True,False,0.0578689631867475,2.850004196166992,2.88748519288549,-1.1253295540809631,2.8746705055236816,12.5142719745636,28.24142360687256,32.00837440490723,35.365546226501465,4.0,42.0,1.0,1.0,1.0,0.870337724685669,0.301685631275177,0.7523589134216309,19.0,426.7687072753906,855,544,,True,,False,False,False,False,False,False,insar_roof_only_strict
856,0,6,18,1,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
857,0,2,6,1,1093,32.25058364868164,grubbs_top,building_height_grubbs_top_m,6.91374397277832,-3.851117396354675,0.8783653974533081,6.91374397277832,16.745422840118408,26.44831304550171,28.648905181884764,29.34257736206053,32.25058364868164,32.25058364868164,0.0,78.0,1.0,True,True,False,1.0,2.044109344482422,3.122929355610483,1.4588178396224976,10.91374397277832,20.745422840118408,30.44831304550171,32.648905181884764,33.34257736206054,10.0,78.0,1.0,1.0,1.0,0.8449063301086426,0.3308125734329223,0.7351387739181519,15.0,408.5389099121094,857,546,,True,,False,False,False,False,False,False,insar_roof_only_strict
858,0,5,15,1,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
859,0,4,12,2,1097;1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
860,0,6,18,1,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
861,0,4,12,1,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
862,0,4,12,1,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
863,0,5,15,1,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
864,0,5,15,1,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
