master,slave,dt_days,bperp_approx_m,mean_coh,median_coh,p10_coh,p90_coh,frac_ge_05,frac_ge_06
20220601,20220623,22,-102.17947312960034,0.40892526507377625,0.3934553861618042,0.15650512278079987,0.6854579448699951,0.3167795414462081,0.18123985890652558
20220601,20220806,66,-493.4610161640147,0.40663960576057434,0.39394068717956543,0.1572413444519043,0.6748518943786621,0.31448853615520284,0.17474603174603173
20220623,20220715,22,-453.9896674943888,0.3796020448207855,0.36673682928085327,0.14644503593444824,0.6307700276374817,0.25813227513227516,0.128989417989418
20220623,20220806,44,-391.2366067469428,0.3795143663883209,0.36686092615127563,0.14706312119960785,0.6300212740898132,0.25738977072310404,0.12802821869488537
20220623,20220828,66,-60.85736192533279,0.4256381094455719,0.4081117808818817,0.1615380048751831,0.7187745571136475,0.3475767195767196,0.21203350970017637
20220715,20220806,22,64.18153695339839,0.5432761907577515,0.5401378870010376,0.20999372005462646,0.8843017816543579,0.5519188712522046,0.42408465608465606
20220806,20221011,66,145.52589400928156,0.46599718928337097,0.4518776535987854,0.17820188403129578,0.7812915444374084,0.42546913580246914,0.2857319223985891
20220828,20220919,22,22.02972278887189,0.5421341061592102,0.5392687916755676,0.20986947417259216,0.8813864588737488,0.551384479717813,0.42288712522045857
20220828,20221011,44,-306.16318623790096,0.4230822026729584,0.409271240234375,0.162924125790596,0.7043101787567139,0.346347442680776,0.2048483245149912
20220828,20221102,66,-280.42273055316355,0.4205334484577179,0.40596067905426025,0.16176636517047882,0.7023874521255493,0.3409506172839506,0.20104938271604939
20220919,20221011,22,-320.86897995107086,0.43545112013816833,0.421941339969635,0.16770519316196442,0.7253791689872742,0.37025925925925923,0.2281816578483245
20220919,20221102,44,-294.8533446561725,0.42759567499160767,0.41372179985046387,0.16483905911445618,0.7123908400535583,0.3549100529100529,0.21325220458553792
20221011,20221102,22,26.38957292665041,0.538756251335144,0.5354346036911011,0.20708224177360535,0.878492534160614,0.54563139329806,0.417663139329806
20221011,20221205,55,-44.19443752880237,0.4831143617630005,0.4694860577583313,0.184400275349617,0.8074429035186768,0.45468606701940034,0.31792063492063494
20221102,20221205,33,-70.55818454003634,0.48432615399360657,0.47369179129600525,0.18711689114570618,0.8016149997711182,0.4601552028218695,0.3199541446208113
20221102,20221227,55,-165.14318066976594,0.4472164809703827,0.43302708864212036,0.17255496978759766,0.7454808354377747,0.3917248677248677,0.24991181657848324
20221205,20221227,22,95.76943874114085,0.5163377523422241,0.5118285417556763,0.20269258320331573,0.839667022228241,0.5164991181657849,0.3789100529100529
20221227,20230220,55,172.45422481596682,0.4735139310359955,0.4634799063205719,0.18443819880485535,0.7813769578933716,0.4422504409171076,0.2972169312169312
20230220,20230325,33,-132.9104675573406,0.49806326627731323,0.49147623777389526,0.19367200136184692,0.8165807723999023,0.48724514991181656,0.3458783068783069
20230325,20230519,55,264.50719205523313,0.4352377951145172,0.42079949378967285,0.16665562987327576,0.7278430461883545,0.36924338624338626,0.2285837742504409
