master,slave,bperp_m,dt_days,abs_bperp_m,quality_score,selection_class,mean_cc,median_cc,p25_cc,p75_cc,fraction_cc_ge_055,valid_fraction
20220601,20220828,-102.1172,88,102.1172,0.444818904,redundancy_addition,0.476090501201416,0.4636637270450592,0.3008793964982033,0.6445173621177673,0.3722028218694885,1.0
20220601,20220919,-60.3129,110,60.3129,0.4281436780000001,redundancy_addition,0.4876207172281359,0.476590484380722,0.3088877126574516,0.6614590585231781,0.3932839506172839,1.0
20220623,20220828,4.941,66,4.941,0.4256721138954162,frozen_seed,0.4256720895070174,0.4081627428531647,0.265995942056179,0.5688326954841614,0.2749012345679012,1.0
20220623,20220919,46.7453,88,46.7453,0.454785846,redundancy_addition,0.4146979577001657,0.3984013497829437,0.2600326240062713,0.5522742122411728,0.2530511463844797,1.0
20220715,20220806,42.7125,22,42.7125,0.5438052415847778,frozen_seed,0.5438051857341519,0.5409762561321259,0.3486357629299164,0.7472412586212158,0.4882821869488536,1.0
20220715,20221011,191.6437,88,191.6437,0.428704134,redundancy_addition,0.4493591294828971,0.4337597340345382,0.2819183692336082,0.6052194982767105,0.3221410934744268,1.0
20220806,20221011,148.9312,66,148.9312,0.4666985273361206,frozen_seed,0.466698539964511,0.4528229683637619,0.2936397865414619,0.6300845593214035,0.354358024691358,1.0
20220806,20221102,177.0239,88,177.0239,0.431335698,redundancy_addition,0.4447701086889439,0.4294812679290771,0.279496818780899,0.5980518907308578,0.3136825396825397,1.0
20220828,20220919,41.8043,22,41.8043,0.5426251292228699,frozen_seed,0.542625163693848,0.5400685667991638,0.3478647246956825,0.7445731908082962,0.4871534391534391,1.0
20220919,20221011,-311.1927,22,311.1927,0.432817131280899,frozen_seed,0.4328170774404521,0.4194636940956116,0.2737500369548797,0.5792533755302429,0.2905943562610229,1.0
20220919,20221102,-283.1,44,283.1,0.4247633218765259,frozen_seed,0.4247633943543009,0.4113519638776779,0.2690622061491012,0.5676002204418182,0.2743562610229277,1.0
20221011,20221102,28.0927,22,28.0927,0.5389679074287415,frozen_seed,0.5389679171576183,0.5356690585613251,0.3431407362222671,0.7416039407253265,0.4814444444444444,1.0
20221011,20221205,-71.8975,55,71.8975,0.4828246235847473,frozen_seed,0.4828246713124304,0.4693739861249923,0.3042443990707397,0.6557326763868332,0.384026455026455,1.0
20221011,20221227,-148.812,77,148.812,0.44851384,redundancy_addition,0.4651191804346481,0.4525909870862961,0.2945808246731758,0.6262509375810623,0.3514497354497354,1.0
20221102,20221205,-99.9902,33,99.9902,0.4844461381435394,frozen_seed,0.4844461847990535,0.4741777181625366,0.3090930432081222,0.6556544899940491,0.3887760141093474,1.0
20221102,20221227,-176.9047,55,176.9047,0.4458250105381012,frozen_seed,0.4458249577412488,0.432211622595787,0.2827830910682678,0.5980052500963211,0.3148377425044091,1.0
20221205,20221227,-76.9145,22,76.9145,0.5165482759475708,frozen_seed,0.5165482215730965,0.5121320486068726,0.333648107945919,0.7022193819284439,0.4474726631393298,1.0
20221205,20230220,116.5793,77,116.5793,0.454315726,redundancy_addition,0.4765625351978165,0.4657170921564102,0.3008666783571243,0.6462689191102982,0.3765449735449735,1.0
