master,slave,dt_days,bperp_m,abs_bperp_m,height_ambiguity_m,selection_class
20200114,20200320,66,-255.00418748092173,255.00418748092173,28.18765204094174,relaxed_dt72_bperp400
20200114,20200525,132,54.17078683015847,54.17078683015847,132.69087872457374,degree_bridge_dt_override
20200320,20200525,66,200.8312490254085,200.8312490254085,35.80460013028965,relaxed_dt72_bperp400
20200525,20200616,22,-55.56688173498951,55.56688173498951,129.3636430416089,preferred_dt48_bperp300
20200525,20200708,44,-25.37181308082164,25.37181308082164,283.3196914545333,preferred_dt48_bperp300
20200616,20200708,22,-32.07287574926233,32.07287574926233,224.14713071788972,preferred_dt48_bperp300
20200708,20200901,55,-19.826853354210773,19.826853354210773,362.57910261145116,relaxed_dt72_bperp400
20200730,20200821,22,107.47943828592423,107.47943828592423,66.96625599361896,preferred_dt48_bperp300
20200730,20200923,55,77.70269618808597,77.70269618808597,92.62864651290123,relaxed_dt72_bperp400
20200821,20200923,33,32.20475593301028,32.20475593301028,223.46154968127257,preferred_dt48_bperp300
20200821,20210224,187,-90.12083686758928,90.12083686758928,79.85417044530094,degree_bridge_dt_override
20200901,20201026,55,51.58597137635796,51.58597137635796,139.34639894891603,relaxed_dt72_bperp400
20200923,20201026,33,497.68102083885543,497.68102083885543,14.460095859885202,connectivity_bridge_dt_override
20200923,20210224,154,-60.80200898934928,60.80200898934928,118.35982706156948,connectivity_bridge_dt_override
20201026,20201117,22,-91.5941047721249,91.5941047721249,78.48962001711857,preferred_dt48_bperp300
20201026,20201209,44,-17.839172631086456,17.839172631086456,402.99999490135474,preferred_dt48_bperp300
20201117,20201209,22,107.5507277905415,107.5507277905415,66.83485032479511,preferred_dt48_bperp300
20201117,20210111,55,-47.49235762781626,47.49235762781626,151.353547249327,relaxed_dt72_bperp400
20201209,20210111,33,-60.313228070726524,60.313228070726524,119.19354003169411,preferred_dt48_bperp300
20210111,20210420,99,87.55226966110196,87.55226966110196,82.10377641621734,connectivity_bridge_dt_override
20210420,20210625,66,-152.6898637466184,152.6898637466184,47.08455092823327,relaxed_dt72_bperp400
20210625,20210808,44,48.103921351171785,48.103921351171785,149.43566599348583,preferred_dt48_bperp300
20210808,20210910,33,66.99735392708837,66.99735392708837,107.29218230431131,preferred_dt48_bperp300
20210808,20211002,55,-139.55877048077983,139.55877048077983,51.50727744797387,relaxed_dt72_bperp400
20210910,20211002,22,-73.02361633503803,73.02361633503803,98.45228139753694,preferred_dt48_bperp300
20210910,20211104,55,-109.73873705626106,109.73873705626106,65.51325281242387,relaxed_dt72_bperp400
20211002,20211104,33,182.33851096159796,182.33851096159796,39.42861785963901,preferred_dt48_bperp300
20211104,20220418,165,-482.15211756793894,482.15211756793894,14.906662012343398,connectivity_bridge_dt_override
20220418,20220601,44,478.98428422229097,478.98428422229097,15.019245515601561,degree_bridge_dt_override
20220418,20220623,66,376.839971089683,376.839971089683,19.090285306112587,relaxed_dt72_bperp400
20220601,20220623,22,-102.17947312960034,102.17947312960034,70.34595843129065,preferred_dt48_bperp300
20220623,20220715,22,-453.9896674943888,453.9896674943888,15.835485236109362,degree_bridge_dt_override
20220623,20220806,44,-391.23660674694275,391.23660674694275,18.37544481517199,relaxed_dt72_bperp400
20220623,20220828,66,-60.85736192533279,60.85736192533279,118.13109292798644,relaxed_dt72_bperp400
20220715,20220806,22,64.18153695339839,64.18153695339839,112.10807569742843,preferred_dt48_bperp300
20220806,20220828,22,451.574421393926,451.574421393926,15.93135631932387,target_count_bridge_dt_override
20220806,20221011,66,145.52589400928156,145.52589400928156,49.43582762982581,relaxed_dt72_bperp400
20220828,20220919,22,22.02972278887189,22.02972278887189,326.3314950106829,preferred_dt48_bperp300
20220828,20221011,44,-306.16318623790096,306.16318623790096,23.480917025658798,relaxed_dt72_bperp400
20220828,20221102,66,-280.42273055316355,280.42273055316355,25.636268351650468,relaxed_dt72_bperp400
20220919,20221011,22,-320.86897995107086,320.86897995107086,22.40359088274247,relaxed_dt72_bperp400
20220919,20221102,44,-294.8533446561725,294.8533446561725,24.380314770277778,preferred_dt48_bperp300
20221011,20221102,22,26.389572926650406,26.389572926650406,272.54956834865925,preferred_dt48_bperp300
20221011,20221205,55,-44.19443752880237,44.19443752880237,162.74597239475133,relaxed_dt72_bperp400
20221102,20221205,33,-70.55818454003634,70.55818454003634,101.9296173891393,preferred_dt48_bperp300
20221102,20221227,55,-165.14318066976594,165.14318066976594,43.54989848608915,relaxed_dt72_bperp400
20221205,20221227,22,95.76943874114083,95.76943874114083,75.10487876213666,preferred_dt48_bperp300
20221227,20230220,55,172.45422481596682,172.45422481596682,41.71580605694104,relaxed_dt72_bperp400
20230220,20230325,33,-132.9104675573406,132.9104675573406,54.11418779424001,preferred_dt48_bperp300
20230325,20230519,55,264.50719205523313,264.50719205523313,27.195613642515458,relaxed_dt72_bperp400
20230427,20230519,22,-290.32121658658366,290.32121658658366,24.756825027879295,preferred_dt48_bperp300
20230427,20230610,44,-426.286754815982,426.286754815982,16.860555669898176,degree_bridge_dt_override
20230519,20230610,22,136.88401083189035,136.88401083189035,52.53643286646889,preferred_dt48_bperp300
20230519,20230702,44,-201.75176770255882,201.75176770255882,35.64478134419538,preferred_dt48_bperp300
20230519,20230724,66,89.56328376723087,89.56328376723087,80.294037278184,relaxed_dt72_bperp400
20230610,20230702,22,-67.47827100080764,67.47827100080764,106.58422164389508,preferred_dt48_bperp300
20230610,20230724,44,222.81902556858958,222.81902556858958,32.27784958732339,preferred_dt48_bperp300
20230610,20230815,66,-83.78616393370177,83.78616393370177,85.83898169855195,relaxed_dt72_bperp400
20230702,20230724,22,289.31501631252127,289.31501631252127,24.86190098434165,preferred_dt48_bperp300
20230702,20230815,44,148.31555057954813,148.31555057954813,48.49741824602009,preferred_dt48_bperp300
20230724,20230815,22,-141.6934527453537,141.6934527453537,50.73284524473842,preferred_dt48_bperp300
20230724,20230917,55,54.271145686564225,54.271145686564225,132.45550502727508,relaxed_dt72_bperp400
20230815,20230917,33,195.68234370599023,195.68234370599023,36.74754360251375,preferred_dt48_bperp300
20230815,20231009,55,166.87859368256215,166.87859368256215,43.09028077775178,relaxed_dt72_bperp400
20230917,20231009,22,-29.437941711753034,29.437941711753034,244.18279159653332,preferred_dt48_bperp300
20230917,20231031,44,-18.55833408962389,18.55833408962389,387.3321145808495,preferred_dt48_bperp300
20230917,20231111,55,-138.11915511935754,138.11915511935754,52.043750049151924,relaxed_dt72_bperp400
20231009,20231031,22,-46.66645626483963,46.66645626483963,154.05037453190707,preferred_dt48_bperp300
20231009,20231111,33,-109.28952930012032,109.28952930012032,65.77926642847652,preferred_dt48_bperp300
20231031,20231111,11,-153.13746711950859,153.13746711950859,46.941061785300306,preferred_dt48_bperp300
