master,slave,bperp_m,dt_days,abs_bperp_m,quality_score,selection_class,mean_cc,median_cc,p25_cc,p75_cc,fraction_cc_ge_055,valid_fraction,original_pair_record
20220601,20220828,-102.1172,88,102.1172,0.444818904,redundancy_addition,0.476090501201416,0.4636637270450592,0.3008793964982033,0.6445173621177673,0.3722028218694885,1.0,1
20220601,20220919,-60.3129,110,60.3129,0.4281436780000001,redundancy_addition,0.4876207172281359,0.476590484380722,0.3088877126574516,0.6614590585231781,0.3932839506172839,1.0,2
20220623,20220828,4.941,66,4.941,0.4256721138954162,frozen_seed,0.4256720895070174,0.4081627428531647,0.265995942056179,0.5688326954841614,0.2749012345679012,1.0,3
20220623,20220919,46.7453,88,46.7453,0.454785846,redundancy_addition,0.4146979577001657,0.3984013497829437,0.2600326240062713,0.5522742122411728,0.2530511463844797,1.0,4
20220715,20220806,42.7125,22,42.7125,0.5438052415847778,frozen_seed,0.5438051857341519,0.5409762561321259,0.3486357629299164,0.7472412586212158,0.4882821869488536,1.0,5
20220715,20221011,191.6437,88,191.6437,0.428704134,redundancy_addition,0.4493591294828971,0.4337597340345382,0.2819183692336082,0.6052194982767105,0.3221410934744268,1.0,6
20220806,20221011,148.9312,66,148.9312,0.4666985273361206,frozen_seed,0.466698539964511,0.4528229683637619,0.2936397865414619,0.6300845593214035,0.354358024691358,1.0,7
20220828,20220919,41.8043,22,41.8043,0.5426251292228699,frozen_seed,0.542625163693848,0.5400685667991638,0.3478647246956825,0.7445731908082962,0.4871534391534391,1.0,9
20220919,20221011,-311.1927,22,311.1927,0.432817131280899,frozen_seed,0.4328170774404521,0.4194636940956116,0.2737500369548797,0.5792533755302429,0.2905943562610229,1.0,10
20220919,20221102,-283.1,44,283.1,0.4247633218765259,frozen_seed,0.4247633943543009,0.4113519638776779,0.2690622061491012,0.5676002204418182,0.2743562610229277,1.0,11
20221011,20221102,28.0927,22,28.0927,0.5389679074287415,frozen_seed,0.5389679171576183,0.5356690585613251,0.3431407362222671,0.7416039407253265,0.4814444444444444,1.0,12
20221011,20221205,-71.8975,55,71.8975,0.4828246235847473,frozen_seed,0.4828246713124304,0.4693739861249923,0.3042443990707397,0.6557326763868332,0.384026455026455,1.0,13
20221102,20221205,-99.9902,33,99.9902,0.4844461381435394,frozen_seed,0.4844461847990535,0.4741777181625366,0.3090930432081222,0.6556544899940491,0.3887760141093474,1.0,15
20221205,20221227,-76.9145,22,76.9145,0.5165482759475708,frozen_seed,0.5165482215730965,0.5121320486068726,0.333648107945919,0.7022193819284439,0.4474726631393298,1.0,17
20221205,20230220,116.5793,77,116.5793,0.454315726,redundancy_addition,0.4765625351978165,0.4657170921564102,0.3008666783571243,0.6462689191102982,0.3765449735449735,1.0,18
20221227,20230220,193.4938,55,193.4938,0.4729585945606231,frozen_seed,0.4729587171905777,0.4635489881038666,0.3032713383436203,0.6358200907707214,0.3665802469135802,1.0,20
20230220,20230325,-137.0502,33,137.0502,0.4987774491310119,frozen_seed,0.4987775702662078,0.4927922338247299,0.3202474787831306,0.6758971363306046,0.416689594356261,1.0,22
20230220,20230519,96.4382,88,96.4382,0.445841124,redundancy_addition,0.4706977398015479,0.4587642103433609,0.2980638295412063,0.6349781304597855,0.3622310405643739,1.0,23
20230325,20230610,110.6524,77,110.6524,0.455382568,redundancy_addition,0.4484289295720501,0.4349187910556793,0.283290147781372,0.6022858321666718,0.3209047619047619,1.0,25
20230427,20230519,-287.7149,22,287.7149,0.4257839322090149,frozen_seed,0.4257838921675116,0.4119373857975006,0.2689388394355774,0.5704144835472107,0.2783668430335097,1.0,27
20230427,20230724,-160.6869,88,160.6869,0.434276358,redundancy_addition,0.4566363595348106,0.4432219266891479,0.2888863012194633,0.6142539232969284,0.335994708994709,1.0,28
20230519,20230610,-122.836,22,122.836,0.4904577136039734,frozen_seed,0.4904576720439399,0.4811611920595169,0.312982477247715,0.665157824754715,0.4007072310405644,1.0,29
20230519,20230702,-175.0505,44,175.0505,0.4498982727527618,frozen_seed,0.4498982949623432,0.4345535784959793,0.2820462435483932,0.6062833815813065,0.3234567901234568,1.0,30
20230519,20230724,127.028,66,127.028,0.4567224979400635,frozen_seed,0.4567224366165309,0.4437242299318313,0.2878547385334968,0.6145127266645432,0.3366719576719577,1.0,31
20230610,20230702,-52.2145,22,52.2145,0.5133731365203857,frozen_seed,0.5133731721619862,0.5024692416191101,0.3243311271071434,0.7031586021184921,0.4354691358024691,1.0,32
20230610,20230815,119.4943,66,119.4943,0.4557496905326843,frozen_seed,0.4557496633245159,0.4418166428804397,0.2869094759225845,0.6139585375785828,0.3345943562610229,1.0,33
20230724,20230815,-130.3697,22,130.3697,0.4880563914775848,frozen_seed,0.4880563639646882,0.4774974733591079,0.3101394474506378,0.6603907346725464,0.3936490299823633,1.0,35
