building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_above_anchor_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_residual_rms_rad,median_height_sigma_m
19357,1,314,291,46.44165316062046,10.451498172690435,-0.008687130863376543,1.5841916761892905,5.369829268191183
38755,2,71,56,5.912550305266551,3.639398444176811,0.013615568695007125,3.048685188580701,7.020695545926413
38756,3,109,109,-10.104537148956796,11.76783153044699,-0.0008828296562777503,2.9896014392508046,0.9980784688276467
38757,4,49,47,15.209307996115406,3.9494073319896277,0.06109768040795711,4.624230995059645,16.036131600229105
38758,5,60,59,-0.3095557418263788,4.888985776734768,0.008690259774116743,1.2319159862495583,1.8962631035270199
38759,6,48,47,4.905266392686901,4.81754988462578,-0.0010698537218124659,2.693195713353276,2.289477136594817
38760,7,93,93,5.962061926158287,8.245224019322794,0.003264484820946622,2.072008979503713,1.6182784922604603
51702,8,62,51,7.860092881442921,4.235517355522171,0.05727352081058055,3.21488216675953,10.956851671609458
51703,9,27,23,11.097968196675971,13.357580515633572,0.025292776375118748,2.3666988721898723,7.914784134622171
51817,10,209,209,5.874976516897431,14.770361847983304,0.00032585991287179455,2.2454785804538364,1.4297899445544813
55623,11,79,73,12.445187879274481,4.469581658705874,-0.00015944678537393686,2.482338988659494,2.2494316490119948
57555,12,120,120,-10.07979999002388,33.41052590417273,-0.0009348754304330843,2.779494980290499,1.5957923473874636
57581,13,8,8,6.116181046217286,38.61130785506697,0.009036623135218323,3.363931663584796,9.156566737577487
57583,14,81,76,24.77234469363117,10.713943422868617,-0.021341895816690354,2.54088143123843,7.809083485487289
59096,15,6,4,19.646986769554733,0.7030807591027468,0.031051923656897837,4.838107775376706,17.640102033718073
59097,16,6,6,-0.6178674991531615,13.863205755405376,-0.005015876898196358,3.5496266508713807,2.7095812217900352
59229,18,10,8,-22.914192839791273,1.5979679343978788,0.002278833472658441,3.0936384842953517,1.7618486922729448
59230,19,35,27,28.222317368478038,13.172340494483336,0.010211389094514467,2.5363661103464423,2.3098762418157928
59232,21,573,573,-13.506245042921623,23.73559245630439,0.004605085449793469,2.7367009719225677,1.9973131619839153
59259,22,127,127,31.130007653999726,28.175075430645037,0.004539368015548223,4.365086240950552,2.6539215524927675
59260,23,50,48,-5.491236721139046,6.794697779918344,0.007532660800343454,3.400873154000954,1.9238302007189212
59431,25,82,82,43.33763506098967,21.410605701283366,-0.015345047790203877,2.9186408621920146,8.308167054462164
59444,26,55,43,41.39322580580849,6.3892192667689685,-0.04597175219041248,3.533986103551171,7.514737703173161
59677,27,503,478,16.60206865433905,16.531400669663725,-0.006774126181219844,2.811939057636007,3.1985076566396238
61236,28,2,2,9.653113722456172,0.4609659973593807,0.002404626928135545,0.2426320364409244,0.8762021155163291
61237,29,10,8,-12.862860214020955,0.5320247382731669,-0.007358098448453228,2.1873404087737507,1.3032649988157083
61760,30,71,54,70.66454365529685,5.795283565022515,-0.11917029666001128,8.44621291839885,30.62670287457415
63246,31,7,7,11.862251239577251,26.53910101797823,0.005925430580132346,3.914866539048586,13.358809430666918
63247,32,11,11,11.072955417703868,14.048194548791216,0.00027453687312192765,0.22911788038367348,0.8330201635654453
63248,33,17,15,1.0146686102510547,0.7885815024797147,0.00021918699683495338,0.4557631572211898,1.2360020170499189
63249,34,10,9,-1.8954853002631453,0.9473848014679911,-0.007321070995121809,2.54917972349215,1.2757564952749478
63250,35,11,10,-3.3563802344202047,1.5667968467203837,0.00445393439447981,1.9629873523344101,6.880739577058977
63251,36,11,9,30.341783718053062,1.0804252790405613,-0.04230920672404426,3.5794633247583705,12.203675561377532
63299,37,11,11,-13.54904296273036,63.049852280802625,0.010726277253594086,4.254686943363981,3.405627530848821
63300,38,25,21,-5.043423361959579,9.143021437745446,-0.0048461313608842566,2.388738920671241,9.19207953886966
63348,39,49,45,6.687380734163318,8.360522542742924,-0.0007742896863801684,0.3631830812512333,1.2355448828193905
63385,40,166,166,57.78079355293292,30.225889880442637,0.012624808739887076,3.849889250899436,13.277191506951539
63386,41,9,9,8.95148967552481,17.572627357219904,-0.017572742778837153,4.03274866820053,12.344043801763604
65171,42,15,15,7.48295546753981,3.859044679881519,0.015444555984082457,3.358956024046209,10.956734766957545
65193,44,104,104,60.59207064853306,34.05571106212227,0.0021642784668814362,3.413685458410268,12.32600150162352
65194,45,44,43,40.22877868315114,9.910576748110792,-0.014941637103269094,4.062938366714145,12.917011914855944
65282,46,123,123,39.785904152419434,43.22259880914052,-0.0004754100623110349,0.3827982686350618,1.3109089144049884
