building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_rms_rad,median_height_sigma_m
19357,150,26,25,-109.02191315667514,6.58831848578744,0.0170297491207404,1.3231659177934885,7.806419430221076
38758,4,1,1,4.6049484248957,0.0,-2.502660410700482e-05,0.8448583352093835,3.9396538954175324
51702,55,5,5,-16.336181248794496,8.0147816487616,-0.005113113701441573,0.5913708963248762,4.9599193335895455
51817,86,89,71,20.61828483550542,2.4251031894388753,-0.004593554029894023,1.1822216411516935,12.272126200486731
55623,47,19,19,-6.392255264410894,15.176753184684616,-0.004259477212703403,0.8599759036068372,5.001654500168548
57555,88,4,4,-41.43404611996602,1.303981033061774,-0.008320353943716515,0.6203931786330086,3.144685524303296
59229,50,2,2,-23.312731693330615,1.2128870611760476,-0.0013184861042598124,0.5821921911296146,4.516115797254825
59232,58,59,59,0.9959633677384887,14.34101462352945,0.0015997267022213196,0.6292448268981369,1.9181919357957047
59259,66,1,1,-6.372590306237235,0.0,0.003877410388331966,0.5375717886681882,1.768702698066492
59677,132,159,159,23.25747041975948,17.115835888406778,0.0007336286204400461,0.7002967241377857,4.353075073981707
61760,128,2,2,-77.74423975451427,0.9034107960326878,0.010438395861597217,1.2417673410953465,5.473189202163384
63247,37,4,4,-2.3759344497878176,0.8605078252284333,-0.006291356693968454,0.518876762702354,1.7462266901350365
63300,76,1,1,-7.664991487467667,0.0,-0.010643770059009865,0.6604164571730746,4.054706787802958
63385,84,109,109,-9.237979738156021,14.0371759241832,-0.003584078859223184,0.5950980139592505,2.7522994392261837
65194,23,18,18,-4.698451787627144,24.882782277646676,-0.010029083986914496,1.0108350210405082,7.462853400003947
65286,51,45,45,-3.9585695983426827,20.29655081469671,-0.005259957456495638,1.0351883607014192,9.082013997132941
65288,40,10,10,-5.207322252575555,0.74199332991346,-0.0014354101717095624,0.5302991501692178,1.7449039257123546
65289,44,5,5,-35.283725684009006,3.4883069393925084,-0.0003222601502548539,0.6411521328411119,3.5376649494096766
65296,69,31,31,-4.701254237036725,11.789477931550069,-0.005737387993833577,0.5200361356617554,1.792616766261279
65297,61,18,17,-19.463462745795578,3.6819229871477113,-0.002007865475806768,0.5319328229163953,0.9997755041574757
65304,64,85,85,-50.122441424861215,36.29939507927828,0.0010055444656819326,0.737521983998163,4.252598386090813
65311,72,59,59,53.37434564501246,86.58997033449778,-0.006818062771205253,0.9768015240154461,11.249614841134814
65312,75,22,21,123.93016557580077,11.592050548738584,-0.0031720966490094617,1.3800787800983274,10.934708106535583
65716,113,4,3,-64.87677392245782,0.5054220097205189,0.0026606128267521218,0.8889974743815143,9.746294103940784
67458,10,21,17,20.090252400242207,0.5943140593422456,-0.008825857107372959,0.5653744890186642,2.2316263560410436
67485,16,2,2,-17.50742845284756,0.5108005282871986,-0.0020293545777351927,0.8764365872377087,3.6576607264020176
67634,46,1,1,13.29210704274055,0.0,-0.004609090106025313,0.5919199855936405,2.166712011992855
67651,52,42,42,-11.126220431875272,6.807294705380662,-0.0019338150148147347,0.56655754665797,3.354002051453122
67652,57,28,28,22.794747579950446,16.959642827141444,-0.01498340953714242,0.9174262782539282,9.974622396058784
67653,56,3,3,50.33810936585635,0.5786327293261948,0.027803350862640935,1.00628039781866,5.213693331429754
67654,53,14,14,-48.74353029833035,30.61405174452736,-0.019107096617180915,0.9374706629997642,11.700892136381611
67655,59,35,32,-1.7188235709718347,2.020037695851197,-0.016401837193530895,0.6714262097732193,4.553540616143954
67656,62,28,26,6.292533477502452,2.767230891312363,-0.00048720108148363206,0.7565364237444695,3.614436751580071
67955,102,57,57,-3.870536328154835,12.267437749997562,-0.0020090509558781645,0.6035890708967062,2.4093322456665947
67957,103,8,8,11.337556959062056,21.097424040006374,-0.002541553352729298,0.6332249170983832,2.993329213194544
67960,104,3,3,19.493147027001925,6.445018140405544,0.0005337169469522531,0.9471828403204645,2.9100170690475435
70031,17,73,73,-20.88604368960897,29.737054978142474,-0.004880552355016522,0.5973251187943834,3.429955284340877
70032,16,18,14,-54.069376275250846,8.706579373805205,-0.0052460816923269125,0.5540716270305313,2.8912958136923663
70040,18,40,38,-8.553103181128353,5.373568042827419,-0.0037607623043592773,0.8374293272678257,6.036105773079835
70203,77,26,26,228.413806813878,287.39309469855914,-0.011057339762114093,0.8864629594902309,4.129232163522516
70451,105,3,3,12.537864543101112,1.1465687863931588,0.0015435593455114867,0.572051873078547,1.6577052260026068
70455,104,1,1,20.233467336391925,0.0,-0.0020614960849134035,0.7618073166011003,2.903664335805701
70479,106,3,3,4.92120546276349,10.829061913278867,0.0008444892365595445,0.6237492527765773,2.2622283008575614
70642,115,54,54,-49.229787898406855,24.86009629693315,0.0012675860160477046,0.5985295579380899,2.767183591324269
74957,22,11,11,-53.68928303536583,286.4540112580646,0.0025047665840606075,1.279566502134747,12.416160038542506
74959,21,45,45,37.2578206183123,32.43037138373066,-0.0006703122863452362,1.173464124173681,10.337317252515847
74960,19,3,3,13.97820978801086,26.2993461916395,0.0022554701711043497,1.1950209594262131,3.0879837925749696
74975,26,41,41,90.20287165189626,4.125690843520545,-0.0058531520373431775,1.0453918474577393,6.7877021012953564
74977,27,33,28,5.213776115255703,4.307940183357314,0.004932914521937288,1.1911168262753218,9.638972141503892
74978,25,20,20,11.391811565306895,5.331084643197768,0.005381339348034782,1.2798265716389698,9.90089573673792
75149,43,32,26,-48.520325854054036,4.341787470775415,-0.007189559024171349,1.055913816688447,5.834539866549305
75150,43,3,3,20.149164245072278,0.5996179983455434,0.006098871628919379,0.8724900343509477,6.510070331766667
75153,43,91,91,-46.054833944683075,64.46763229933345,-0.0002640137737621754,0.9571465906832746,5.664528886947831
75157,70,5,5,-47.13953985644256,3.837331794708163,0.015372504501530968,1.1297459463468702,6.278301900510907
75173,70,51,51,-36.400151345322996,8.336519548399096,0.015044095770476305,1.1205344632602448,6.896839124577887
75174,71,163,162,46.383527523288706,18.609414478485114,-0.0006594627064739739,0.8466411498592636,6.522494831339751
75331,85,25,25,-11.344610288130347,415.5484458863035,0.029615367056437327,1.247865128596755,9.60253948743156
75339,96,23,19,-109.78362342150392,118.57817486626499,0.027712099806055115,1.3133780576667813,6.654982880805967
75340,99,38,34,-120.2964093055333,2.6315149226017382,0.0028308201637813925,1.1924335420265746,5.772375904754373
75378,99,15,10,114.16869175483319,6.765526428261879,-0.04904192606742898,1.458943263339168,8.423399295735045
77472,19,5,3,-9.604369510481186,1.887540888749637,-0.002093038879939859,0.6198346968028844,8.50862269259166
77650,67,243,243,-11.533509243247535,21.32289095815574,-0.00018459121120360992,0.6609091675478901,2.105331844601614
78268,116,18,18,-24.239253228632137,3.455345987538699,-0.0024485852200513236,0.6775793530904853,2.2864715006635405
79578,1,1,1,14.66820199190574,0.0,-0.0035489894534218402,0.7559446331908752,3.725831133856544
79980,38,69,66,-17.169389138255273,5.870581597370455,-0.0015407982864696192,0.6626895839906122,6.945547420640876
80019,60,15,15,-42.90175389279399,9.359961976030547,0.009242013951155426,0.6176505699288187,3.2141026737876484
80252,93,58,58,10.790588656519603,5.142546622886083,-0.014910591110971129,0.6456660665999244,2.4779255208610866
80596,117,48,43,0.5124849224820001,4.34309654746807,-0.007295425390358827,0.5332238505309803,2.965228925846516
84813,39,91,77,-0.8425530767314872,19.60679175610354,-6.836884415733623e-05,0.7048709488666074,3.9417610287796627
85055,92,13,10,-26.44062870056841,2.0018785771888155,-0.006154534318991755,0.48775640081379035,3.579069723969703
85477,135,42,42,12.546988931816374,13.961857253500797,-0.006925279103095931,0.5439619804887645,2.082367506110061
85492,136,14,14,7.363876745463395,3.147150426323096,-0.0037044440373461165,0.7857644576759439,3.222277117771777
87051,80,46,46,-12.315544915297664,16.79626824639791,-0.00903150183500631,0.8510757006877795,13.13187029635277
87529,135,3,3,3.51298667423603,1.452757494002047,-0.004087510602607822,0.5516493112870107,2.158472174051339
90896,87,17,17,9.895465691028347,5.749909651421653,-0.0011563506348283357,0.7624248772910982,5.08006243031619
90904,81,72,69,34.55947921867025,2.8546291826209895,-0.006251965412832412,0.6206671105532885,2.052763081446122
92926,83,157,151,8.477558813293353,6.670444030597217,-0.005225736285723154,0.4927821850848107,1.7052589086799708
92970,97,11,11,-2.7957601752206247,325.0283066149483,0.016228984196924468,1.2165694682438852,12.128711209638558
