building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_above_anchor_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_residual_rms_rad,median_height_sigma_m
19357,1,314,289,45.66390819432352,9.426104515578011,-0.007527156435020456,1.5964923947164962,5.302765535976065
38755,2,14,12,6.80257387824318,1.0709822937915554,0.0019461001385540763,2.2535215873819974,7.847108860890472
38756,3,109,109,-10.207095895037948,11.954873430811533,-0.00141024368307521,3.169006910981498,1.0256275511135717
38757,4,4,4,12.163964061054585,2.7843597383334906,0.037851004459855765,4.353662316710866,14.548403555134474
38759,6,48,46,5.404304695763416,4.9329016324326185,-0.004134773068112092,2.8884900310724184,2.4063711074600045
38760,7,93,93,5.624614694700741,8.115427843571464,0.0010195719755903576,2.1735697285836975,1.6329370791939142
51702,8,35,32,0.17706589563144476,7.820676334483485,-0.004765897578624362,3.2951078932086837,11.355207629696178
51703,9,27,24,10.67454137185958,15.381844053353166,0.010671641642955584,2.405176403073213,7.868817955325506
51817,10,209,209,6.002958813507125,14.717362453455488,0.00019571716577825604,2.292821124972459,1.3721400564438928
55623,11,79,73,12.019958807403459,3.7850021842164097,0.0023932568449847843,2.572310750953355,2.303705320560773
57555,12,120,120,-13.728390657653947,29.959372435281303,-0.0006135143435869975,2.703165113017781,1.6061112550264594
57581,13,8,8,14.282880889883256,32.54330102015803,0.07222002893095837,5.427890751356547,18.992706451290182
57583,14,13,13,0.25350481576320305,3.915672557370872,-0.015944520780905674,2.8615549819186406,8.704326980003998
59096,15,6,6,11.231277873601012,3.387085302838978,-0.012376219183100678,3.671900888686026,13.939582175536628
59097,16,6,5,-0.70296773476206,0.3098766248852912,0.006157929591544211,3.488819966240351,2.9068696422039704
59229,18,10,8,-22.578824860795848,1.5588626620367982,0.0017316363086540723,3.344925258922352,1.8897103637637698
59232,21,573,573,-13.613789148984138,22.95169353326755,0.0043450970997779125,2.6978977751581175,1.8949787627103776
59259,22,77,77,23.154924864847093,22.60935272981832,0.021752451654399287,3.7010775475912663,13.615967191698209
59260,23,50,49,-5.455955770417916,7.600782792084072,0.008733341951117211,3.2780358345627088,1.9791888556795831
59431,25,24,20,3.2730765083707443,3.2838887756205284,0.0023231348242501587,1.9464446770208852,1.569368527068706
59444,26,50,46,19.661977007408954,6.201837153246753,0.012377446267889551,3.529625003680974,11.430806805221263
59677,27,503,478,17.012739094784177,17.1973177439559,-0.007365283598159911,2.854294748931113,3.1150373338444135
61760,30,71,54,64.5644973609831,5.461474538625808,-0.11897578501390024,8.347470293838114,29.94074261629043
63246,31,7,7,6.835966906232177,16.989714042437207,0.030433705725459833,3.9917492953910583,11.76260835614157
63247,32,11,11,11.162798509947509,14.293042773282814,0.0006782642707500248,0.22237262940424274,0.8377143727895295
63249,34,10,8,-8.32029597508331,0.8385540483976879,-0.001872594812454032,2.8026977370554738,2.244525996105826
63251,36,11,11,18.843384752764344,3.462668870802613,0.033314550476041815,2.8428249050806045,9.80241283850863
63299,37,11,11,22.935057666203683,22.568574661567222,0.017390172957469932,2.44283905257575,8.720961854087204
63300,38,13,13,0.03181636802096732,18.853108728421752,-0.011051685119971115,2.912447999520803,11.812650993977128
63348,39,40,40,6.30133934180334,7.109496733900178,-0.002881147226033273,0.3643646330865644,1.2652631667218226
63385,40,166,161,41.88965684726899,18.621444860875222,-0.002143066747432413,3.895064902915544,3.5352044859033147
63386,41,9,9,4.071534890859119,12.08964735248485,0.0019064076394433892,3.924050960373805,5.787051910612356
65171,42,11,10,3.12389255209449,1.611092430646294,0.0016637138846419255,1.8945061682779616,5.995152702759382
65193,43,77,77,17.185628075301995,31.283520781380368,-0.031081707540786967,3.854403578308252,15.133302918563919
65194,44,44,43,1.064844022945344,7.752982696540661,-0.03357671501672674,3.870137357224858,12.776075140701648
65282,45,7,6,1.439287429115706,1.9581697150159747,0.0005736079049280297,0.5372044315475499,1.2575795740436262
65283,46,15,15,24.405038021175628,39.05135714087453,-0.0064919042991877715,1.8125415814063244,1.4238968459964847
65285,48,13,13,17.445541748861714,16.612097774345216,0.001465019485754376,2.201784079849874,1.3413894185236734
65286,49,76,70,1.4867401342841515,2.693874637326077,0.005561453691799817,3.2876148573744253,2.7354113192837506
65288,51,12,10,64.38102134574237,3.3999672613470366,0.02641358734885088,4.655910391287929,17.011091540373346
65289,52,27,27,4.975355692087652,2.574792978785015,-0.014213973350324777,2.914984705357283,3.1024411649198673
65296,53,177,171,90.23189721236055,29.19247312305437,-0.039611041812455665,2.545223858096336,8.832824311692647
65297,54,308,308,52.574683118882476,39.34735025110116,0.029914554055097537,3.057009785710097,9.694232381370535
65298,55,20,20,8.247633926688565,5.755233176425751,-0.026334681885354688,2.495159368834443,7.9334538420094525
65299,56,66,63,28.92427681026632,13.8443015634039,-0.001484311536640288,0.35048669422359163,1.278389644656652
65300,57,90,85,61.463444155411786,13.915974071610734,-0.0037914794823223773,0.708424398751464,2.3554140445751997
65301,58,2,2,7.962260589179425,0.9070493194224891,-0.0036661874242326703,2.8231899000926557,11.230503031782588
65304,59,156,138,18.555633872709983,9.435593175417228,-0.006338663865647886,3.0848214521041504,2.9339100180878113
65311,60,381,381,28.847815193600404,37.47779261926824,-0.0018975652652620143,0.8727693911731124,1.3672881216843882
65312,61,231,231,16.153068110931788,39.247535356799006,-0.0014013553498099353,0.31264468841844184,1.074492950536183
65313,62,18,14,-5.828804311724502,5.831425921785894,-0.0014093784189054934,1.742810491260777,6.479043515629665
65314,63,3,3,-9.551007891471388,1.1096943814370537,-0.0035563485522766307,1.7445349955723939,1.4559011837445204
65500,64,19,17,-6.644640471415117,2.394210358421444,-0.012205477408064956,3.8287445070431665,10.967487262076139
65547,65,124,124,-1.6429466322515036,19.694984772135008,-0.0012905503058845862,1.9214219241171226,6.931120703492348
65548,66,338,338,18.54253091130226,21.274768202279443,0.006526971652131551,2.5530469762778076,5.600758460965852
65692,67,14,14,2.48727042929992,3.402397516648623,-0.006678603269906536,2.85309053813459,2.621013066888208
67458,70,57,55,29.94924673126658,18.1401731457726,0.004018917507021294,1.9938244422705351,3.4040230905795155
67549,72,15,15,0.3290440624730465,1.588636065379443,0.0005028514975370721,0.20167079592268025,0.6260562262271703
67634,73,128,128,34.32277004567774,51.63513530445787,-0.004060992708648468,0.5305465478724123,1.820476442550572
67635,74,93,93,34.03576702911066,29.638975614691844,-0.001010497984957235,0.4578238121815319,1.5554201640965124
67651,75,101,89,51.052234242987865,13.983186374456963,-0.00026734391679656956,3.049060244600463,2.564851236717107
67652,76,34,32,30.821073915552915,7.779156705292927,0.0003325636931301944,0.42270708740044416,1.348069551739583
67653,77,131,125,-3.989450457790658,9.939502247305628,-0.04298651496472192,1.6965578515811035,4.492940838527469
67654,78,38,38,5.4805376377829,9.189184513208726,-0.0022787459457230155,1.9185399193543002,3.686415416553676
67655,79,75,72,7.6820219672789,18.31998311213398,0.0022780607900008804,2.181771374588492,2.194671481114529
67656,80,107,107,37.97332698543833,29.92231874526028,0.015169984207860771,1.843272975945477,6.8160098035905285
67955,81,22,22,-7.006377737283545,25.449357237870828,0.013119718246953668,4.162347087068223,5.178376385159387
67956,82,301,301,14.992898612659417,66.01028539620403,-0.011613547802328735,1.7220158992784305,4.023764636581684
67957,83,39,36,8.15101301938422,4.069931009990736,-0.007447922622725976,1.412106793259871,2.997131441229347
67958,84,134,115,6.8213501015990765,7.943887523242774,0.000493152408968447,1.1382900037078196,1.5775658670570456
68091,85,24,24,5.248276282125604,5.512288547686268,-0.02437234635788721,3.875151223154866,13.91214732955709
70031,86,2,2,3.1095631085472686,1.6044847456954345,0.0006734000747207081,0.21197303175279253,0.7595368830695062
70032,87,148,148,9.204641297369008,28.80827146764765,-0.00012556705533907714,0.39110889832482304,1.2289369964234087
70040,88,218,218,17.272294995161232,24.336345194682263,-0.012549664334916538,3.0931507667966636,9.169560812796604
70203,89,234,220,2.9425928670362937,33.75208628366534,-0.0071812733987426155,0.8991649933310095,2.847131456892267
70453,92,35,32,28.791486949331592,4.0602587360269276,-0.0005605395283930152,1.8398338075580558,2.6658644263251734
70454,93,25,21,-0.8877466821274326,1.1488409476675883,-0.0001531753429859884,0.23645457917832177,0.7487045257559294
70455,94,5,5,14.82014143407085,3.418569112955087,0.014954336040566365,2.966492872481912,11.055006535667367
70478,96,8,7,21.908519062816815,1.6323331686992972,-0.008491682074685597,3.6274305911756053,3.980883728440466
70479,97,10,10,0.3389491369552466,6.4827406598222375,-0.004636087478301762,2.11937683507928,2.7572635872444486
70601,98,2,2,-1.9302158994166596,2.483256599975151,0.008229742644021355,4.894120591721356,16.840599509506852
70642,99,116,112,8.218977447522372,16.14724989101436,-0.05070429562175442,3.41206515674782,11.520512077885865
74957,101,10,10,34.57953371135534,4.1453123798842455,0.03147936884563721,4.739719336000645,17.736588436539225
