building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_above_anchor_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_residual_rms_rad,median_height_sigma_m
19357,1,314,289,45.66390819432352,9.426104515578011,-0.007527156435020456,1.5964923947164962,5.302765535976065
38755,2,71,56,5.16784036971813,3.4326759647668568,0.00807966949145625,3.068773627187345,7.360295727252023
38756,3,109,109,-10.207095895037948,11.954873430811533,-0.00141024368307521,3.169006910981498,1.0256275511135717
38757,4,49,46,11.995258641881426,3.678646984610758,0.044880984517568924,4.60396039274559,15.709453704322037
38758,5,60,59,-0.4177497969641686,4.8702107308664395,0.004511160218739702,1.3747396261258662,1.9441857436707783
38759,6,48,46,5.404304695763416,4.9329016324326185,-0.004134773068112092,2.8884900310724184,2.4063711074600045
38760,7,93,93,5.624614694700741,8.115427843571464,0.0010195719755903576,2.1735697285836975,1.6329370791939142
51702,8,62,55,2.1856450797437583,8.456134513847921,0.04785459756065573,3.197008119574935,9.906111501381181
51703,9,27,24,10.67454137185958,15.381844053353166,0.010671641642955584,2.405176403073213,7.868817955325506
51817,10,209,209,6.002958813507125,14.717362453455488,0.00019571716577825604,2.292821124972459,1.3721400564438928
55623,11,79,73,12.019958807403459,3.7850021842164097,0.0023932568449847843,2.572310750953355,2.303705320560773
57555,12,120,120,-13.728390657653947,29.959372435281303,-0.0006135143435869975,2.703165113017781,1.6061112550264594
57581,13,8,8,4.42609289175094,38.46920852031464,0.010868091875848234,3.341786870707109,9.777507680228698
57583,14,81,71,24.460583033910627,9.634093107529875,-0.013857656395959966,2.544430252682501,7.904145405560872
59096,15,6,4,21.325720164542346,0.547755584989325,0.0009767426381685667,4.862449736179872,17.545334271044283
59097,16,6,5,-0.70296773476206,0.3098766248852912,0.006157929591544211,3.488819966240351,2.9068696422039704
59229,18,10,8,-22.578824860795848,1.5588626620367982,0.0017316363086540723,3.344925258922352,1.8897103637637698
