building_uid,selected_pixel_count,iqr_retained_pixel_count,paper_text_median_m,original_code_range_m,robust_q95_q05_height_m,relative_height_q05_m,relative_height_q95_m,median_phase_residual_rms_rad,median_height_sigma_m,paper_text_median_45_m,robust_height_45_m,robust_height_network_difference_m,ground_ellipsoid_height_m,recommended_building_height_m,roof_ellipsoid_height_m,quality_pass,height_definition
19357,314,289,45.663909912109375,59.027082443237305,36.52419357299804,23.142683029174805,59.66687660217284,1.5913750529289246,5.2460901737213135,46.441654205322266,38.134540939331046,-1.6103473663330092,-5.099885940551758,36.52419357299804,31.42430763244628,True,SBAS像元相对高差的P95-P05；非先验填充
38755,71,56,5.167840480804443,32.630122035741806,27.927993595600128,1.8104965090751648,29.738490104675293,3.0915303230285645,7.466102123260498,5.912550449371338,29.14919751882553,-1.2212039232254028,-4.052759647369385,27.927993595600128,23.875233948230743,True,SBAS像元相对高差的P95-P05；非先验填充
38756,109,109,-10.207096099853516,25.510000705718994,16.37051101326942,-15.924373054504395,0.44613795876502715,3.169006824493408,1.0256274938583374,-10.104537010192871,16.214680832624435,0.15583018064498688,-4.0542097091674805,16.37051101326942,12.316301304101941,True,SBAS像元相对高差的P95-P05；非先验填充
38757,49,46,11.995258331298828,19.93318247795105,13.561497592926017,3.3476805686950692,16.909178161621085,4.605831623077393,15.839195251464844,15.209307670593262,11.16533575057983,2.396161842346187,-3.0534768104553223,13.561497592926017,10.508020782470695,False,SBAS像元相对高差的P95-P05；非先验填充
38758,60,59,-0.4177497923374176,16.683341026306152,8.899888479709622,-2.8959671616554257,6.003921318054196,1.3812034130096436,1.9556870460510254,-0.3095557391643524,9.338423311710354,-0.43853483200073207,-4.29771614074707,8.899888479709622,4.602172338962552,True,SBAS像元相对高差的P95-P05；非先验填充
38759,48,46,5.40430474281311,18.325635612010956,11.95790160205215,0.0838576028123498,12.0417592048645,2.895367741584778,2.4467068910598755,4.905266284942627,10.60101334452629,1.3568882575258598,-4.9330878257751465,11.95790160205215,7.0248137762770035,True,SBAS像元相对高差的P95-P05；非先验填充
38760,93,93,5.624614715576172,23.4250066280365,14.977333426475525,-1.1998965978622436,13.777436828613281,2.173569679260254,1.6329370737075806,5.962061882019043,14.865867567062375,0.11146585941314946,-4.702481746673584,14.977333426475525,10.274851679801941,True,SBAS像元相对高差的P95-P05；非先验填充
51702,62,55,2.18564510345459,112.49191284179688,44.81382269859313,-26.271060371398924,18.542762327194204,3.219500184059143,9.887609958648682,7.860093116760254,23.742138409614554,21.071684288978574,59.494384765625,44.81382269859313,104.30820746421813,False,SBAS像元相对高差的P95-P05；非先验填充
51703,27,24,10.674541473388672,48.97558403015137,47.608076858520505,-26.73752632141113,20.870550537109374,2.411334991455078,7.7944655418396,11.097968101501465,46.35361499786377,1.2544618606567326,55.22947692871094,47.608076858520505,102.83755378723144,True,SBAS像元相对高差的P95-P05；非先验填充
51817,209,209,6.00295877456665,28.135762214660645,20.122955894470216,-6.729353713989258,13.393602180480958,2.292821168899536,1.3721400499343872,5.874976634979248,20.406040287017824,-0.2830843925476074,0.008343575522303581,20.122955894470216,20.13129946999252,True,SBAS像元相对高差的P95-P05；非先验填充
55623,79,73,12.01995849609375,34.04239463806152,25.46184616088867,-10.469365787506103,14.992480373382568,2.582331418991089,2.346323013305664,12.44518756866455,30.348403644561767,-4.886557483673098,-4.472870826721191,25.46184616088867,20.988975334167478,True,SBAS像元相对高差的P95-P05；非先验填充
57555,120,120,-13.72839069366455,74.27748489379883,65.3260850906372,-31.17558364868164,34.15050144195556,2.703165054321289,1.6061112880706787,-10.079800128936768,68.5232190132141,-3.1971339225768958,5.280370712280273,65.3260850906372,70.60645580291748,True,SBAS像元相对高差的P95-P05；非先验填充
57581,8,8,4.426092714071274,48.500186920166016,45.22012782692909,-6.4480895578861235,38.772038269042966,3.3417868614196777,9.777507781982422,6.116180837154388,45.12580738067627,0.09432044625281577,-2.206995725631714,45.22012782692909,43.01313210129737,True,SBAS像元相对高差的P95-P05；非先验填充
57583,81,71,24.460582733154297,77.99094551801682,64.68965137004852,1.962814450263977,66.6524658203125,2.551936626434326,7.944634914398193,24.7723445892334,64.79062283039093,-0.10097146034240723,0.14865784347057343,64.68965137004852,64.8383092135191,True,SBAS像元相对高差的P95-P05；非先验填充
59096,6,4,21.325719833374023,10.376696586608887,8.003674268722534,16.75415587425232,24.757830142974854,4.820267200469971,17.4516544342041,19.64698600769043,7.937607765197754,0.06606650352478027,-1.1058788299560547,8.003674268722534,6.8977954387664795,False,SBAS像元相对高差的P95-P05；非先验填充
59097,6,5,-0.7029677629470825,20.76060116291046,15.818876986566465,-1.184462532401085,14.63441445416538,3.4853471517562866,2.9229254722595215,-0.6178674884140491,23.834191650152206,-8.015314663585741,-2.2480721473693848,15.818876986566465,13.57080483919708,True,SBAS像元相对高差的P95-P05；非先验填充
59229,10,8,-22.578824996948242,19.32599115371704,18.568889594078065,-23.87500104904175,-5.306111454963685,3.344925284385681,1.9454739093780518,-22.914193153381348,18.65524318218231,-0.0863535881042452,-1.2830133438110352,18.568889594078065,17.28587625026703,True,SBAS像元相对高差的P95-P05；非先验填充
59230,35,27,28.259479522705078,72.42203998565674,67.51322307586669,15.758365821838378,83.27158889770507,2.493332862854004,2.390646457672119,28.22231674194336,67.2447491645813,0.26847391128539755,-3.160098075866699,67.51322307586669,64.35312499999999,True,SBAS像元相对高差的P95-P05；非先验填充
