clean_id,row_shift,col_shift,score,score_gain,inside_mean,ring_mean,contrast,contrast_gain,boundary_edge_mean,boundary_edge_gain,overlap_other_frac,kept_pixel_frac,candidate_pixels,accepted,reject_reason
66,1,2,0.9905135202175162,0.03291187313852528,0.6609039306640625,0.47192949056625366,0.18897444009780884,0.045004963874816895,0.3807355463504791,0.0012347102165222168,0.0,1.0,129,False,score_gain_too_small
95,2,5,0.8612796707165999,0.06297528725989299,0.5950609445571899,0.4389243423938751,0.15613660216331482,0.016422241926193237,0.36629149317741394,0.06352227926254272,0.0,1.0,189,True,accepted
148,-2,-8,0.8676617245004616,0.02122059267024623,0.5593909621238708,0.31246688961982727,0.24692407250404358,0.08639580011367798,0.39918214082717896,0.041310518980026245,0.0,1.0,278,False,score_gain_too_small
161,3,3,0.5923770552505097,0.0010104177523693192,0.35591626167297363,0.26484525203704834,0.09107100963592529,-0.046146705746650696,0.34010565280914307,0.07459291815757751,0.0,1.0,347,False,score_gain_too_small
164,1,3,0.7169032180738786,0.028236355824504233,0.4603111445903778,0.29003652930259705,0.17027461528778076,0.034795939922332764,0.29853856563568115,0.027920037508010864,0.0,1.0,276,False,score_gain_too_small
167,0,0,0.8894471511244774,0.0,0.5796182751655579,0.4161352217197418,0.16348305344581604,0.0,0.3318588137626648,0.0,0.0,1.0,174,False,best_is_original
181,2,5,0.8099394766701026,0.08897363674767444,0.5309399366378784,0.3664431869983673,0.1644967496395111,0.05826002359390259,0.37292706966400146,0.057412177324295044,0.0,1.0,221,False,not_in_audited_accept_list
189,-3,6,0.5841902022951957,0.04471005105913839,0.41263243556022644,0.324096143245697,0.08853629231452942,0.10090520977973938,0.31156039237976074,0.013434410095214844,0.005376344086021506,0.9946236559139785,558,True,accepted
191,-1,-3,0.6582752341461519,0.045430011494193345,0.4333670139312744,0.31258121132850647,0.12078580260276794,0.058919697999954224,0.2907889485359192,-0.0037589967250823975,0.0,1.0,186,False,not_in_audited_accept_list
193,-1,-3,0.6673234531712869,0.03777608518126996,0.46481961011886597,0.5033090114593506,-0.03848940134048462,0.043644219636917114,0.37981510162353516,-0.018452197313308716,0.0,1.0,153,True,accepted
206,0,0,0.9089397117495537,0.0,0.5455460548400879,0.3644028306007385,0.18114322423934937,0.0,0.3880562484264374,0.0,0.0,1.0,238,False,best_is_original
214,0,0,1.1003537684679032,0.0,0.7394983172416687,0.5588047504425049,0.18069356679916382,0.0,0.39793187379837036,0.0,0.0,1.0,168,False,best_is_original
232,1,5,0.7191055642835419,0.08048654370229646,0.5120866298675537,0.40057334303855896,0.11151328682899475,0.07062786817550659,0.30997225642204285,0.04865241050720215,0.0,1.0,240,True,accepted
241,0,0,1.2096694856882095,0.0,0.758034348487854,0.4107591509819031,0.3472751975059509,0.0,0.3980473279953003,0.0,0.0,1.0,47,False,best_is_original
246,3,0,0.9215411543250083,0.029196615457534714,0.5543327927589417,0.3683702349662781,0.18596255779266357,0.12288427352905273,0.4381941258907318,0.018980860710144043,0.0,1.0,37,False,score_gain_too_small
252,0,0,0.9363911762833595,0.0,0.6118841767311096,0.39683249592781067,0.21505168080329895,0.0,0.3157637119293213,0.0,0.0,1.0,301,False,best_is_original
292,0,0,1.1340874969959258,0.0,0.6984195113182068,0.40456247329711914,0.29385703802108765,0.0,0.411956787109375,0.0,0.0,1.0,214,False,best_is_original
313,0,0,1.1018928617238999,0.0,0.729268491268158,0.5987864136695862,0.13048207759857178,0.0,0.44976353645324707,0.0,0.0,1.0,216,False,best_is_original
344,-1,3,0.787225721223388,0.073438578290973,0.5513637661933899,0.3977934420108795,0.15357032418251038,0.07958108186721802,0.28921839594841003,0.032901614904403687,0.0,1.0,232,False,not_in_audited_accept_list
349,1,-7,0.8986490765593187,0.1930444533012048,0.5738486051559448,0.36437851190567017,0.20947009325027466,0.22127941250801086,0.430849552154541,0.03596377372741699,0.0,1.0,311,True,accepted
441,3,0,0.9466699241995811,0.06675191068649289,0.6079213619232178,0.4048851728439331,0.20303618907928467,0.02705898880958557,0.39129963517189026,0.06599029898643494,0.0,1.0,236,False,not_in_audited_accept_list
446,6,7,1.091961965538307,0.15546645281438431,0.7045148015022278,0.4796368181705475,0.2248779833316803,0.06811252236366272,0.5461660623550415,0.09466087818145752,0.0,1.0,38,False,not_in_audited_accept_list
447,1,-8,0.6360855399793064,0.178249657077161,0.40861931443214417,0.4157017171382904,-0.00708240270614624,0.09158062934875488,0.4647194743156433,0.11889469623565674,0.0,1.0,153,True,accepted
467,2,-4,0.9217710440885586,0.09704714844937745,0.7377535104751587,0.5869498252868652,0.15080368518829346,0.10223472118377686,0.2555050849914551,0.01204894483089447,0.0,1.0,168,True,accepted
493,0,0,0.9441733002662659,0.0,0.5500654578208923,0.3321015536785126,0.21796390414237976,0.0,0.4023079574108124,0.0,0.0,1.0,228,False,best_is_original
508,-6,-2,1.0673112485671716,0.04715850540644717,0.7189845442771912,0.48577573895454407,0.2332088053226471,0.1509779989719391,0.4425410032272339,-0.027954131364822388,0.0,1.0,147,False,not_in_audited_accept_list
509,2,3,0.9913110911506164,0.03489167537865523,0.658170759677887,0.39768409729003906,0.2604866623878479,0.16422206163406372,0.35473042726516724,-0.026859015226364136,0.0,1.0,99,False,score_gain_too_small
542,0,0,0.6285139597952365,0.0,0.3696662485599518,0.22419948875904083,0.14546675980091095,0.0,0.2630990743637085,0.0,0.0,1.0,252,False,best_is_original
544,0,0,0.6441363841295242,0.0,0.3667358458042145,0.24358168244361877,0.1231541633605957,0.0,0.30400338768959045,0.0,0.0,1.0,85,False,best_is_original
549,0,0,1.046161589026451,0.0,0.6747438907623291,0.5855453610420227,0.0891985297203064,0.0,0.47479426860809326,0.0,0.0,1.0,198,False,best_is_original
550,0,0,1.1703512459993362,0.0,0.7610509991645813,0.5677126049995422,0.19333839416503906,0.0,0.4546889066696167,0.0,0.0,1.0,475,False,best_is_original
555,-3,5,0.7983229370054515,0.2215602011617931,0.5264665484428406,0.31157177686691284,0.21489477157592773,0.21684622764587402,0.33327868580818176,0.02133360505104065,0.0,1.0,201,True,accepted
562,0,0,1.0039406538009645,0.0,0.6102047562599182,0.3395024538040161,0.2707023024559021,0.0,0.36714649200439453,0.0,0.0,1.0,177,False,best_is_original
566,0,0,1.162970808148384,0.0,0.7518607378005981,0.5268926024436951,0.22496813535690308,0.0,0.4332941770553589,0.0,0.0,1.0,152,False,best_is_original
568,0,0,1.209585966169834,0.0,0.7559840679168701,0.4991118311882019,0.2568722367286682,0.0,0.46682849526405334,0.0,0.0,1.0,210,False,best_is_original
569,0,0,0.6028569087386131,0.0,0.38081425428390503,0.32036399841308594,0.06045025587081909,0.0,0.27711430191993713,0.0,0.0,1.0,585,False,best_is_original
570,0,0,1.157090848684311,0.0,0.7488040924072266,0.5007832050323486,0.24802088737487793,0.0,0.4124206304550171,0.0,0.0,1.0,99,False,best_is_original
576,-1,-3,0.7315714666676858,0.1038502985668519,0.4720584750175476,0.3755061626434326,0.09655231237411499,0.13023507595062256,0.35727930068969727,-0.012869119644165039,0.0,1.0,121,False,not_in_audited_accept_list
577,-2,-8,0.5936617399380646,0.1101774724946461,0.43956997990608215,0.31415167450904846,0.1254183053970337,0.1237223744392395,0.2747263014316559,0.054673656821250916,0.0,1.0,180,False,not_in_audited_accept_list
581,-1,-1,0.9992485212566208,0.016214555728609414,0.67896568775177,0.4388347268104553,0.2401309609413147,0.07441088557243347,0.3620827794075012,0.014700651168823242,0.018018018018018018,0.9819819819819819,222,False,score_gain_too_small
600,2,3,0.7170119270342339,0.07265646752295385,0.485232412815094,0.3996128439903259,0.08561956882476807,0.1054677963256836,0.33628931641578674,0.0005345046520233154,0.0,1.0,427,False,not_in_audited_accept_list
629,1,2,0.9792315977579138,0.03578443703708867,0.624285101890564,0.38671809434890747,0.2375670075416565,0.09384948015213013,0.3764422833919525,-0.017450422048568726,0.0,1.0,68,False,not_in_audited_accept_list
656,0,0,1.2567278921604155,0.0,0.7906619310379028,0.5172427892684937,0.2734191417694092,0.0,0.47362470626831055,0.0,0.0,1.0,114,False,best_is_original
660,1,8,0.9206505521362698,0.07812927208599207,0.5976252555847168,0.33365944027900696,0.26396581530570984,0.13920429348945618,0.405963271856308,0.028733164072036743,0.0,1.0,272,False,not_in_audited_accept_list
662,-3,-4,1.118829376399517,0.3384816372394561,0.729448139667511,0.40380439162254333,0.32564374804496765,0.24396377801895142,0.4089994430541992,0.10765528678894043,0.0,1.0,244,True,accepted
675,0,0,1.22643221616745,0.0,0.8248330950737,0.5757389068603516,0.2490941882133484,0.0,0.4077852964401245,0.0,0.0,1.0,334,False,best_is_original
676,0,3,0.834981864631176,0.09782304906845085,0.4857950508594513,0.37521734833717346,0.11057770252227783,0.0868535041809082,0.4648784399032593,0.024341553449630737,0.0,1.0,141,False,not_in_audited_accept_list
691,1,6,0.49089733652727646,0.016182850226331202,0.4230174422264099,0.305765837430954,0.11725160479545593,0.19284558296203613,0.33874303102493286,0.005971133708953857,0.08695652173913043,0.9130434782608695,115,False,score_gain_too_small
696,0,0,0.8936762422323228,0.0,0.5398131608963013,0.3875837028026581,0.1522294580936432,0.0,0.396170049905777,0.0,0.0,1.0,567,False,best_is_original
726,0,0,1.0230398193001746,0.0,0.6263042092323303,0.4101825952529907,0.2161216139793396,0.0,0.4122452437877655,0.0,0.0,1.0,811,False,best_is_original
734,-8,-8,0.5283273620199369,0.07959757052771321,0.44542601704597473,0.40981319546699524,0.03561282157897949,0.02436085045337677,0.3295010030269623,0.021573156118392944,0.014319809069212411,0.9856801909307876,419,False,not_in_audited_accept_list
736,0,0,1.2709816098213196,0.0,0.8362927436828613,0.5489331483840942,0.2873595952987671,0.0,0.42460763454437256,0.0,0.0,1.0,91,False,best_is_original
749,0,0,0.6727969601750374,0.0,0.4269348084926605,0.3889645040035248,0.03797030448913574,0.0,0.328433632850647,0.0,0.0,1.0,543,False,best_is_original
753,4,0,0.9003539775013923,0.15324395340681074,0.5663747787475586,0.4133225679397583,0.1530522108078003,0.19535863399505615,0.4348256289958954,0.02722993493080139,0.0,1.0,198,False,not_in_audited_accept_list
764,-1,1,1.1994219260291603,0.003864149935677297,0.7533137202262878,0.431699275970459,0.32161444425582886,0.037379056215286255,0.4318086802959442,-0.01486116647720337,0.0,1.0,507,False,score_gain_too_small
777,0,0,0.7190360993146896,0.0,0.4562626779079437,0.41547244787216187,0.04079023003578186,0.0,0.35086923837661743,0.0,0.0,1.0,733,False,best_is_original
781,-3,-1,0.8631820524168351,0.016180094523463473,0.5654712915420532,0.3690034747123718,0.1964678168296814,0.006758064031600952,0.34116581082344055,0.016497313976287842,0.0,1.0,221,False,score_gain_too_small
783,0,0,1.0665853068232536,0.0,0.6755377650260925,0.530169665813446,0.14536809921264648,0.0,0.45982930064201355,0.0,0.0,1.0,87,False,best_is_original
786,-1,-8,0.578841870083557,0.1536991571924552,0.40979912877082825,0.3351939022541046,0.07460522651672363,0.21118371188640594,0.3309432566165924,-0.05904474854469299,0.001644736842105263,0.9983552631578947,608,True,accepted
787,0,0,0.9702889442443847,0.0,0.5855053067207336,0.3382212519645691,0.24728405475616455,0.0,0.37073689699172974,0.0,0.0,1.0,188,False,best_is_original
823,-1,0,1.3970524390339851,0.011448856174945732,0.8680210113525391,0.4733598232269287,0.39466118812561035,0.037068963050842285,0.4898250997066498,-0.00819048285484314,0.0,1.0,371,False,score_gain_too_small
824,-3,-3,1.1099424710501273,0.1463245188821396,0.8547849655151367,0.7004247903823853,0.15436017513275146,-0.02602696418762207,0.3518804609775543,0.07374751567840576,0.0,1.0,172,True,accepted
827,8,3,0.6596378009867659,0.07436957174062642,0.46509191393852234,0.2771816849708557,0.18791022896766663,0.17822867631912231,0.28930386900901794,-0.06796520948410034,0.0,1.0,621,False,not_in_audited_accept_list
828,0,0,0.5565428927540779,0.0,0.34536197781562805,0.3784061074256897,-0.033044129610061646,0.0,0.3288310468196869,0.0,0.0,1.0,288,False,best_is_original
829,0,0,0.8808126449584961,0.0,0.5648868680000305,0.4309329390525818,0.13395392894744873,0.0,0.3606606125831604,0.0,0.0,1.0,162,False,best_is_original
832,0,0,1.1242005586624146,0.0,0.7250534892082214,0.4756792187690735,0.24937427043914795,0.0,0.3976585268974304,0.0,0.0,1.0,168,False,best_is_original
842,1,2,0.8105157989030858,0.010311761773206807,0.5048801898956299,0.30257171392440796,0.20230847597122192,0.055836647748947144,0.32859036326408386,-0.01816534996032715,0.0,1.0,787,False,score_gain_too_small
843,1,0,0.8906013761758804,0.05325119990110405,0.5123433470726013,0.3420795500278473,0.17026379704475403,0.10783001780509949,0.42964014410972595,-0.012528598308563232,0.0,1.0,345,True,accepted
881,1,-8,0.5412025090114932,0.04041673352883868,0.38116455078125,0.27116554975509644,0.10999900102615356,0.07598263025283813,0.30966031551361084,0.010334014892578125,0.009389671361502348,0.9906103286384976,213,True,accepted
897,0,0,1.0084968328475954,0.0,0.6256146430969238,0.4274967908859253,0.19811785221099854,0.0,0.4069308042526245,0.0,0.0,1.0,361,False,best_is_original
901,-1,1,1.074223576672509,0.010157980211212836,0.7400708794593811,0.5410746932029724,0.1989961862564087,0.024586081504821777,0.3715718686580658,0.007845014333724976,0.0,1.0,550,False,score_gain_too_small
902,0,0,0.6433287546038627,0.0,0.45661211013793945,0.6155370473861694,-0.15892493724822998,0.0,0.39594128727912903,0.0,0.0,1.0,480,False,best_is_original
927,1,-7,0.5596423128626481,0.07361286524750144,0.36313867568969727,0.27912652492523193,0.08401215076446533,0.09819251298904419,0.33774226903915405,0.04419669508934021,0.0,1.0,194,True,accepted
941,0,4,1.0214705992937088,0.03668397855758665,0.6483378410339355,0.4480785131454468,0.20025932788848877,0.023536622524261475,0.4578760266304016,0.03579139709472656,0.0,1.0,175,True,accepted
944,0,0,1.2592128455638885,0.0,0.8046658039093018,0.556787371635437,0.24787843227386475,0.0,0.47792959213256836,0.0,0.0,1.0,142,False,best_is_original
945,0,0,1.2416708946228028,0.0,0.8815069794654846,0.6960349678993225,0.1854720115661621,0.0,0.40297287702560425,0.0,0.0,1.0,43,False,best_is_original
946,0,0,1.2776864856481551,0.0,0.7670385837554932,0.42270582914352417,0.344332754611969,0.0,0.4794890880584717,0.0,0.0,1.0,596,False,best_is_original
975,0,0,0.8997156769037247,0.0,0.5918461680412292,0.472678542137146,0.11916762590408325,0.0,0.3625594973564148,0.0,0.0,1.0,187,False,best_is_original
983,1,1,0.9929075630383041,0.01576057542128828,0.6528061628341675,0.4442105293273926,0.2085956335067749,0.03919675946235657,0.3666462302207947,-0.0024196505546569824,0.0,1.0,134,False,score_gain_too_small
1008,1,2,1.108326348937132,0.017585058785059005,0.6983523368835449,0.4504767060279846,0.2478756308555603,0.020406901836395264,0.44719046354293823,0.02522292733192444,0.0,1.0,89,False,score_gain_too_small
1012,2,0,1.0846670324206351,0.13501632606983172,0.6662019491195679,0.38418692350387573,0.28201502561569214,0.07152041792869568,0.4275558888912201,0.09258028864860535,0.0,1.0,84,True,accepted
