date,start_hhmmss,mission_data_take,order_id,polarisation,zip_path,zip_size_bytes,zip_sha256,measurement_member,measurement_size_bytes,measurement_crc32,manifest_member,annotation_member,calibration_member,sensing_start,sensing_stop,pass,mode,swath,platform_heading_deg,range_sampling_rate_hz,radar_frequency_hz,range_pixel_spacing_m,azimuth_pixel_spacing_m,azimuth_time_interval_s,number_of_samples,number_of_lines,mid_swath_incidence_deg,bbox_west,bbox_south,bbox_east,bbox_north,paper_center_intersects,footprint_lonlat,logical_duplicate_count,logical_preferred,selected_center_segment
20240309,031730,004738,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-004738/BC3-SM-SLC-1SVV-20240309T031730-004738-000016-001282.zip,662101786,a37aab54fc90003a6fc37af5f3d9db3869f7f939e5391dd3a5d21a3a01d8c7d9,BC3-SM-SLC-VV-20240309T031730-004738-000016-001282/measurement/bc3-sm-slc-vv-20240309t031730-004738-000016-001282-01.tiff,697034339,1c50a1e4,BC3-SM-SLC-VV-20240309T031730-004738-000016-001282/manifest.safe,BC3-SM-SLC-VV-20240309T031730-004738-000016-001282/annotation/bc3-sm-slc-vv-20240309t031730-004738-000016-001282-01.xml,BC3-SM-SLC-VV-20240309T031730-004738-000016-001282/annotation/calibration/calibration-bc3-sm-slc-vv-20240309t031730-004738-000016-001282-01.xml,2024-03-09T03:17:30.815583,2024-03-09T03:17:34.205869,DESCENDING,S1,S1,167.5251,120000000.0,5400000100.0,1.249135241667,1.790580436888,0.0002418,12426,14022,37.6109,117.003,39.1036,117.36,39.3738,True,"[[117.0749, 39.3738], [117.36, 39.3141], [117.003, 39.1632], [117.2873, 39.1036]]",1,True,True
20240309,031733,004738,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-004738/BC3-SM-SLC-1SVV-20240309T031733-004738-000016-001282.zip,661840263,2bf89784588f059965c5d3c5828b67a43bd83ae3eadbe0b0ac305839e189fe05,BC3-SM-SLC-VV-20240309T031733-004738-000016-001282/measurement/bc3-sm-slc-vv-20240309t031733-004738-000016-001282-01.tiff,697034339,ccefd36f,BC3-SM-SLC-VV-20240309T031733-004738-000016-001282/manifest.safe,BC3-SM-SLC-VV-20240309T031733-004738-000016-001282/annotation/bc3-sm-slc-vv-20240309t031733-004738-000016-001282-01.xml,BC3-SM-SLC-VV-20240309T031733-004738-000016-001282/annotation/calibration/calibration-bc3-sm-slc-vv-20240309t031733-004738-000016-001282-01.xml,2024-03-09T03:17:33.955367,2024-03-09T03:17:37.345652,DESCENDING,S1,S1,167.5251,120000000.0,5400000100.0,1.249135241667,1.790580436888,0.0002418,12426,14022,37.6109,116.9368,38.9087,117.2927,39.1788,True,"[[117.0083, 39.1788], [117.2927, 39.1192], [116.9368, 38.9682], [117.2203, 38.9087]]",1,True,True
20240331,031708,005336,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-005336/BC3-SM-SLC-1SVV-20240331T031708-005336-000016-0014D8.zip,663030119,1269193bf545dda452b5229617767d219a1126b64cddaaaa40eccc12e0832ffb,BC3-SM-SLC-1SVV-20240331T031708-005336-000016-0014D8/measurement/bc3-sm-slc-vv-20240331t031708-005336-000016-0014d8-01.tiff,697034339,e7c1379f,BC3-SM-SLC-1SVV-20240331T031708-005336-000016-0014D8/manifest.safe,BC3-SM-SLC-1SVV-20240331T031708-005336-000016-0014D8/annotation/bc3-sm-slc-vv-20240331t031708-005336-000016-0014d8-01.xml,BC3-SM-SLC-1SVV-20240331T031708-005336-000016-0014D8/annotation/calibration/calibration-bc3-sm-slc-vv-20240331t031708-005336-000016-0014d8-01.xml,2024-03-31T03:17:08.182906,2024-03-31T03:17:11.573201,DESCENDING,S1,S1,167.5293,120000000.0,5400000100.0,1.249135241667,1.79058607422,0.0002418,12426,14022,37.6119,117.0025,39.104,117.3594,39.3742,True,"[[117.0744, 39.3742], [117.3594, 39.3144], [117.0025, 39.1636], [117.2867, 39.104]]",1,True,True
20240331,031711,005336,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-005336/BC3-SM-SLC-1SVV-20240331T031711-005336-000016-0014D8.zip,662272811,1a869c2601f22e456e21ac937be82890679370d53ccbc9ee15b67c7d4c66d941,BC3-SM-SLC-1SVV-20240331T031711-005336-000016-0014D8/measurement/bc3-sm-slc-vv-20240331t031711-005336-000016-0014d8-01.tiff,697034339,054f2000,BC3-SM-SLC-1SVV-20240331T031711-005336-000016-0014D8/manifest.safe,BC3-SM-SLC-1SVV-20240331T031711-005336-000016-0014D8/annotation/bc3-sm-slc-vv-20240331t031711-005336-000016-0014d8-01.xml,BC3-SM-SLC-1SVV-20240331T031711-005336-000016-0014D8/annotation/calibration/calibration-bc3-sm-slc-vv-20240331t031711-005336-000016-0014d8-01.xml,2024-03-31T03:17:11.322700,2024-03-31T03:17:14.713000,DESCENDING,S1,S1,167.5293,120000000.0,5400000100.0,1.249135241667,1.79058607422,0.0002418,12426,14022,37.6119,116.9362,38.9091,117.2921,39.1791,True,"[[117.0078, 39.1791], [117.2921, 39.1195], [116.9362, 38.9685], [117.2197, 38.9091]]",1,True,True
20240411,031656,005626,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-005626/BC3-SM-SLC-1SVV-20240411T031656-005626-000017-0015FA.zip,664395175,384829c4910d99c0216f48d116d5953886a8fb697c8d4d6ad9804db0a5853fbb,BC3-SM-SLC-1SVV-20240411T031656-005626-000017-0015FA/measurement/bc3-sm-slc-vv-20240411t031656-005626-000017-0015fa-01.tiff,697034339,c31a0acd,BC3-SM-SLC-1SVV-20240411T031656-005626-000017-0015FA/manifest.safe,BC3-SM-SLC-1SVV-20240411T031656-005626-000017-0015FA/annotation/bc3-sm-slc-vv-20240411t031656-005626-000017-0015fa-01.xml,BC3-SM-SLC-1SVV-20240411T031656-005626-000017-0015FA/annotation/calibration/calibration-bc3-sm-slc-vv-20240411t031656-005626-000017-0015fa-01.xml,2024-04-11T03:16:56.641739,2024-04-11T03:17:00.032035,DESCENDING,S1,S1,167.5261,120000000.0,5400000100.0,1.249135241667,1.790596206262,0.0002418,12426,14022,37.616,117.0039,39.1039,117.3609,39.3741,True,"[[117.0758, 39.3741], [117.3609, 39.3143], [117.0039, 39.1635], [117.2882, 39.1039]]",1,True,True
20240411,031659,005626,000017,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-005626/BC3-SM-SLC-1SVV-20240411T031659-005626-000017-0015FA.zip,663393148,8aad652384a48da79979de7c47c767a2d75a9e4fa63fb85193c326ed9e49b50d,BC3-SM-SLC-1SVV-20240411T031659-005626-000017-0015FA/measurement/bc3-sm-slc-vv-20240411t031659-005626-000017-0015fa-01.tiff,697034339,782cb07c,BC3-SM-SLC-1SVV-20240411T031659-005626-000017-0015FA/manifest.safe,BC3-SM-SLC-1SVV-20240411T031659-005626-000017-0015FA/annotation/bc3-sm-slc-vv-20240411t031659-005626-000017-0015fa-01.xml,BC3-SM-SLC-1SVV-20240411T031659-005626-000017-0015FA/annotation/calibration/calibration-bc3-sm-slc-vv-20240411t031659-005626-000017-0015fa-01.xml,2024-04-11T03:16:59.781533,2024-04-11T03:17:03.171829,DESCENDING,S1,S1,167.5261,120000000.0,5400000100.0,1.249135241667,1.790596206262,0.0002418,12426,14022,37.616,116.9377,38.909,117.2935,39.179,True,"[[117.0092, 39.179], [117.2935, 39.1194], [116.9377, 38.9684], [117.2212, 38.909]]",1,True,True
20240422,031645,005901,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-005901/BC3-SM-SLC-1SVV-20240422T031645-005901-000016-00170D.zip,664570131,2298f2ebc9145108330466ad4097c87003486096f84d8f1bcf687b934d71202e,BC3-SM-SLC-1SVV-20240422T031645-005901-000016-00170D/measurement/bc3-sm-slc-vv-20240422t031645-005901-000016-00170d-01.tiff,697034339,851e99a6,BC3-SM-SLC-1SVV-20240422T031645-005901-000016-00170D/manifest.safe,BC3-SM-SLC-1SVV-20240422T031645-005901-000016-00170D/annotation/bc3-sm-slc-vv-20240422t031645-005901-000016-00170d-01.xml,BC3-SM-SLC-1SVV-20240422T031645-005901-000016-00170D/annotation/calibration/calibration-bc3-sm-slc-vv-20240422t031645-005901-000016-00170d-01.xml,2024-04-22T03:16:45.478452,2024-04-22T03:16:48.868748,DESCENDING,S1,S1,167.5269,120000000.0,5400000100.0,1.249135241667,1.790598009154,0.0002418,12426,14022,37.6148,117.0037,39.1034,117.3606,39.3736,True,"[[117.0755, 39.3736], [117.3606, 39.3139], [117.0037, 39.163], [117.2879, 39.1034]]",1,True,True
20240422,031648,005901,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-005901/BC3-SM-SLC-1SVV-20240422T031648-005901-000016-00170D.zip,663488734,73c312ba4fdb4333bddf0ae1f997b72e23712ebb2862557cb372a3b43764b3e2,BC3-SM-SLC-1SVV-20240422T031648-005901-000016-00170D/measurement/bc3-sm-slc-vv-20240422t031648-005901-000016-00170d-01.tiff,697034339,eeeabf96,BC3-SM-SLC-1SVV-20240422T031648-005901-000016-00170D/manifest.safe,BC3-SM-SLC-1SVV-20240422T031648-005901-000016-00170D/annotation/bc3-sm-slc-vv-20240422t031648-005901-000016-00170d-01.xml,BC3-SM-SLC-1SVV-20240422T031648-005901-000016-00170D/annotation/calibration/calibration-bc3-sm-slc-vv-20240422t031648-005901-000016-00170d-01.xml,2024-04-22T03:16:48.618246,2024-04-22T03:16:52.008542,DESCENDING,S1,S1,167.5269,120000000.0,5400000100.0,1.249135241667,1.790598009154,0.0002418,12426,14022,37.6148,116.9374,38.9085,117.2932,39.1786,True,"[[117.009, 39.1786], [117.2932, 39.119], [116.9374, 38.9679], [117.2209, 38.9085]]",1,True,True
20240503,031634,006180,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-006180/BC3-SM-SLC-1SVV-20240503T031634-006180-000016-001824.zip,666398313,d27fa62a0161cf8090539fc86ce169c1a966720ca96def7dca226fc90beca9a8,BC3-SM-SLC-1SVV-20240503T031634-006180-000016-001824/measurement/bc3-sm-slc-vv-20240503t031634-006180-000016-001824-01.tiff,697034339,81bd0ccb,BC3-SM-SLC-1SVV-20240503T031634-006180-000016-001824/manifest.safe,BC3-SM-SLC-1SVV-20240503T031634-006180-000016-001824/annotation/bc3-sm-slc-vv-20240503t031634-006180-000016-001824-01.xml,BC3-SM-SLC-1SVV-20240503T031634-006180-000016-001824/annotation/calibration/calibration-bc3-sm-slc-vv-20240503t031634-006180-000016-001824-01.xml,2024-05-03T03:16:34.446195,2024-05-03T03:16:37.836490,DESCENDING,S1,S1,167.5269,120000000.0,5400000100.0,1.249135241667,1.790576909517,0.0002418,12426,14022,37.6068,117.0024,39.1037,117.3594,39.3739,True,"[[117.0743, 39.3739], [117.3594, 39.3142], [117.0024, 39.1633], [117.2867, 39.1037]]",1,True,True
20240503,031637,006180,000016,VV,/home/u/Downloads/中国天津市点位2/降轨-左视/BC3-006180/BC3-SM-SLC-1SVV-20240503T031637-006180-000016-001824.zip,664786776,49ca3da3617f533e74e5ee336a3c0e961fbb643b79a1ec0a2abad8c9e802e53e,BC3-SM-SLC-1SVV-20240503T031637-006180-000016-001824/measurement/bc3-sm-slc-vv-20240503t031637-006180-000016-001824-01.tiff,697034339,9f2dd548,BC3-SM-SLC-1SVV-20240503T031637-006180-000016-001824/manifest.safe,BC3-SM-SLC-1SVV-20240503T031637-006180-000016-001824/annotation/bc3-sm-slc-vv-20240503t031637-006180-000016-001824-01.xml,BC3-SM-SLC-1SVV-20240503T031637-006180-000016-001824/annotation/calibration/calibration-bc3-sm-slc-vv-20240503t031637-006180-000016-001824-01.xml,2024-05-03T03:16:37.585989,2024-05-03T03:16:40.976284,DESCENDING,S1,S1,167.5269,120000000.0,5400000100.0,1.249135241667,1.790576909517,0.0002418,12426,14022,37.6068,116.9362,38.9088,117.292,39.1789,True,"[[117.0077, 39.1789], [117.292, 39.1193], [116.9362, 38.9683], [117.2197, 38.9088]]",1,True,True
